director,title,year,imdbid,imdbrating,imdbvotes,movieid,plot,poster,released,runtime,tmdb
Charles Vidor,Gilda,1946,0038559,7.8,19573,2940,"Johnny Farrell is a gambling cheat who turns straight to work for an unsettling casino owner Ballin Mundson. But things take a turn for Johnny as his alluring ex-lover appears as Mundson's wife, and Mundson's machinations begin to unravel.",http://ia.media-imdb.com/images/M/MV5BMTAzNTQ4MjY4NzZeQTJeQWpwZ15BbWU4MDA3OTU3OTAx._V1_SX300.jpg,1946-03-15,110,3767
Charles Vidor,Hans Christian Andersen,1952,0044685,6.9,2534,4188,"The opening scene of the movie describes it best: Once upon a time there lived in Denmark a great storyteller named Hans Christian Andersen. This is not the story of his life, but a fairy tale about the great spinner of fairy tales.",http://ia.media-imdb.com/images/M/MV5BMTM3MDczMDk5NF5BMl5BanBnXkFtZTcwODQ1NDUyMQ@@._V1_SX300.jpg,1953-08-14,112,16618
Charles Vidor,"Song to Remember, A",1945,0038104,6.9,842,80346,Biography of Frederic Chopin.,http://ia.media-imdb.com/images/M/MV5BMTU4ODI0OTQ5Ml5BMl5BanBnXkFtZTcwOTY0ODAwMQ@@._V1_SX300.jpg,1945-01-18,113,119764
Yvan Attal,My Wife is an Actress (Ma Femme est une Actrice),2001,0269499,6.6,3192,5466,A normal guy who is married to a hot actress gets worried that she is involved with her costar. This worry turns into jealousy and causes problems in their relationship. This is a story about trust and a comedy about the actions between men and women.,http://ia.media-imdb.com/images/M/MV5BMTY3OTUyNDE0M15BMl5BanBnXkFtZTYwNzg2Nzg5._V1_SX300.jpg,2001-11-14,95,14651
Steve Antin,Burlesque,2010,1126591,6.4,59883,83086,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,http://ia.media-imdb.com/images/M/MV5BMTc4MzEyODI0Ml5BMl5BanBnXkFtZTcwNjIyNDQ4Mw@@._V1_SX300.jpg,2010-11-24,119,42297
Éva Gárdos,"American Rhapsody, An",2001,0221799,6.9,3215,4737,A young Hungarian girl struggles to find her place in the world when she's reunited with her parents in the USA years after she was left behind during their flight from the communist country in the 1950s.,http://ia.media-imdb.com/images/M/MV5BMjE0Mzk2MTkxNV5BMl5BanBnXkFtZTcwOTE4MDYyMQ@@._V1_SX300.jpg,2002-02-28,106,37920
Fabián Bielinsky,Nine Queens (Nueve reinas),2000,0247586,7.9,36604,5319,Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the nine queens).,http://ia.media-imdb.com/images/M/MV5BMTI3NzczNjk4Nl5BMl5BanBnXkFtZTYwMzQ5Njk5._V1_SX300.jpg,2000-08-31,114,18079
Hector Babenco,Carandiru,2003,0293007,7.6,13416,7459,"Brazilian MD Drauzio Varella starts AIDS prevention in Brazil's largest prison, Carandiru, in São Paulo, where the population is nearly double its 4,000 maximum. Doc learns from experience ...",http://ia.media-imdb.com/images/M/MV5BMmQzY2RmYzMtYzRiOS00ZTMzLTgxMGYtZjRkNzAzYjA2MmVkXkEyXkFqcGdeQXVyNDc2MTA2NDg@._V1_SX300.jpg,2003-04-11,145,8440
Hector Babenco,Ironweed,1987,0093277,6.8,6051,4122,A schizophrenic drifter spends Halloween in his home town after returning there for the first time in decades.,http://ia.media-imdb.com/images/M/MV5BMTU2NzAxNDgwN15BMl5BanBnXkFtZTcwMDUzMzMzMQ@@._V1_SX300.jpg,1988-02-12,143,40962
Hector Babenco,Kiss of the Spider Woman,1985,0089424,7.5,10439,6786,"Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis, a trans individual, is found guilty of immoral behavior and Valentin is a political prisoner. To escape ...","http://ia.media-imdb.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_SX89_AL_.jpg_V1_SX300.jpg",1985-07-26,120,11703
Hector Babenco,Pixote,1981,0082912,8,4588,4179,"The life of a boy in the streets of Sao Paulo, involved with little crimes, prostitution, etc",http://ia.media-imdb.com/images/M/MV5BMTYxMzcyNTM1M15BMl5BanBnXkFtZTcwODg2NzMyMQ@@._V1_SX300.jpg,1981-09-18,128,42148
Eliseo Subiela,Man Facing Southeast,1986,0091214,7.9,2602,2938,A patient in a mental hospital claims to be an extraterrestial. Could he be right?,http://ia.media-imdb.com/images/M/MV5BMTYxNDYzODUxNF5BMl5BanBnXkFtZTcwNzU1NDM0MQ@@._V1_SX300.jpg,1987-03-13,105,48797
Shinobu Yaguchi,Waterboys,2001,0299213,7.2,1857,27544,"In a Japanese high school, a class of adolescent geeks joins the new synchronized swimming teacher and takes up the challenge to take part in the competition, in spite of the mockeries of the real sportsmen.",null,2001-09-15,91,30839
Kevin Smith,Chasing Amy,1997,0118842,7.4,111462,1639,"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's gay.",http://ia.media-imdb.com/images/M/MV5BMTY5ODMyMDY4NF5BMl5BanBnXkFtZTcwNDgwMDEyMQ@@._V1_SX300.jpg,1997-04-18,113,2255
Kevin Smith,Clerks,1994,0109445,7.8,177869,223,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",http://ia.media-imdb.com/images/M/MV5BMTg3MTkyMzA0NF5BMl5BanBnXkFtZTgwNTg0NDI1MDE@._V1_SX300.jpg,1994-11-04,92,2292
Kevin Smith,Clerks II,2006,0424345,7.4,112485,45728,A calamity at Dante and Randal's shops sends them looking for new horizons - but they ultimately settle at the fast food empire Mooby's.,http://ia.media-imdb.com/images/M/MV5BODg1MzY2NDY0OF5BMl5BanBnXkFtZTcwNDgyMzQzMQ@@._V1_SX300.jpg,2006-07-21,97,2295
